nama_tempat,latitude,longitude,kategori,deskripsi_referensi,deskripsi_prediksi,BERT_P,BERT_R,BERT_F1
RKC SEAFOOD / RUMAH KEPITING CUMI BPD,"-1,2230313","116,8321765",Restoran,"RKC SEAFOOD / RUMAH KEPITING CUMI BPD adalah restoran yang menyajikan hidangan laut di kawasan Balikpapan, Kalimantan Timur.",RKC SEAFOOD / RUMAH KEPITING CUMI BPD adalah restoran yang menyajikan seafood di sekitar lokasi tersebut. Tempat ini menawarkan berbagai pilihan hidangan seafood untuk dinikmati.,0.8478096723556519,0.8709349632263184,0.8592167496681213
Mapsservis Kursi Sofa Panggilan,"-1,2217868","116,8321306",Toko Furnitur,Mapsservis Kursi Sofa Panggilan adalah toko furnitur yang melayani perbaikan serta penjualan kursi dan sofa di area Balikpapan.,Mapsservis Kursi Sofa Panggilan adalah toko furnitur yang menyediakan kursi sofa panggilan dengan lokasi di sekitar kota. Tersedia berbagai model kursi sofa untuk memenuhi kebutuhan rumah tangga.,0.822158694267273,0.8258905410766602,0.8240203857421875
Radja Tenda,"-1,2237713","116,8329828",Layanan Sewa Tenda,"Radja Tenda merupakan layanan sewa tenda yang menyediakan perlengkapan acara di wilayah Balikpapan, Kalimantan Timur.",Radja Tenda adalah layanan sewa tenda yang terletak di sekitar lokasi tersebut. Menawarkan pilihan tenda untuk kebutuhan liburan atau acara.,0.8173243999481201,0.7907001972198486,0.8037919402122498
DapurMomoy08,"-1,2236036","116,832622",Toko Kue,DapurMomoy08 adalah toko kue rumahan yang menjual berbagai jenis kue dan camilan di Balikpapan.,DapurMomoy08 adalah toko kue yang menyajikan berbagai jenis kue dan camilan di sekitar lokasi tersebut. Tersedia berbagai pilihan kue untuk kebutuhan harian dan acara spesial.,0.8354330658912659,0.884850800037384,0.8594321012496948
Perumahan bpd,"-1,222027","116,8321634",Dapur Umum,Perumahan BPD berfungsi sebagai dapur umum atau tempat penyedia makanan di kawasan perumahan Balikpapan.,"Perumahan BPD adalah dapur umum yang terletak di sekitar lokasi tertentu di Pekanbaru, Riau. Tidak ada informasi lebih lanjut tentang fasilitas dan layanan yang ditawarkan.",0.7558062672615051,0.7885947227478027,0.771852433681488
Nayla ol shop,"-1,223107","116,833381",Toko Perhiasan,Nayla Ol Shop adalah toko perhiasan yang menjual berbagai aksesoris dan perhiasan wanita di Balikpapan.,"Nayla Ol Shop adalah toko perhiasan yang terletak di sekitar lokasi tertentu di Pekanbaru, Riau. Tersedia berbagai jenis perhiasan untuk kebutuhan Anda.",0.8068448305130005,0.8349180221557617,0.8206414580345154
Makam Abah Muhammad Arsyad Bin Muhammad Yasin,"-1,2236132","116,833412",Pemakaman,"Makam Abah Muhammad Arsyad Bin Muhammad Yasin merupakan area pemakaman umum di Balikpapan, Kalimantan Timur.",Makam Abah Muhammad Arsyad Bin Muhammad Yasin adalah pemakaman yang terletak di sekitar daerah tersebut. Tidak ada informasi lebih lanjut tentang makam ini tersedia.,0.7839717268943787,0.8148868680000305,0.799130380153656
Distributor Shannen,"-1,2218823","116,8325451",Toko Kosmetik,Distributor Shannen adalah toko kosmetik yang menyediakan produk kecantikan merek Shannen di Balikpapan.,Distributor Shannen adalah toko kosmetik yang terletak di sekitar lokasi tertentu di Jakarta. Tersedia berbagai produk kosmetik untuk kebutuhan perawatan kulit dan wajah.,0.8183584213256836,0.8458244204521179,0.8318647742271423
PT. ITCI Kartika Utama,"-1,2235762","116,8099926",Pemasok kayu,"PT. ITCI Kartika Utama merupakan pemasok kayu yang beroperasi di Balikpapan, Kalimantan Timur.",PT. ITCI Kartika Utama adalah pemasok kayu yang beroperasi di sekitar wilayah tersebut. Mereka menyediakan berbagai jenis kayu untuk kebutuhan industri dan konstruksi lainnya.,0.8006534576416016,0.8354498147964478,0.817681610584259
CV. FELISHA SAMUDRA JAYA,"-1,2250518","116,8098223",Perusahaan Konstruksi,"CV. FELISHA SAMUDRA JAYA adalah perusahaan konstruksi yang bergerak di bidang pembangunan dan jasa proyek di Balikpapan, Kalimantan Timur.",CV. FELISHA SAMUDRA JAYA adalah perusahaan konstruksi yang beroperasi di sekitar wilayah tersebut. Melayani berbagai proyek konstruksi dan pekerjaan lainnya.,0.853476345539093,0.8316739797592163,0.8424341082572937
