nama_tempat,latitude,longitude,kategori,deskripsi_referensi,deskripsi_prediksi,BERT_P,BERT_R,BERT_F1
RKC SEAFOOD / RUMAH KEPITING CUMI BPD,"-1,2230313","116,8321765",Restoran,"RKC SEAFOOD / RUMAH KEPITING CUMI BPD adalah restoran yang menyajikan hidangan laut di kawasan Balikpapan, Kalimantan Timur.","RKC SEAFOOD/Rumah Kepiting Cumi BPD adalah restoran yang menyajikan seafood di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Menyediakan berbagai jenis ikan dan hidangan seafood lainnya.",0.8219409584999084,0.8590471744537354,0.8400845527648926
Mapsservis Kursi Sofa Panggilan,"-1,2217868","116,8321306",Toko Furnitur,Mapsservis Kursi Sofa Panggilan adalah toko furnitur yang melayani perbaikan serta penjualan kursi dan sofa di area Balikpapan.,"Mapsservis Kursi Sofa Panggilan adalah toko furnitur yang menyediakan kursi sofa panggilan di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Menawarkan berbagai pilihan kursi sofa untuk kebutuhan rumah tangga.",0.8151315450668335,0.8529868125915527,0.8336296677589417
Radja Tenda,"-1,2237713","116,8329828",Layanan Sewa Tenda,"Radja Tenda merupakan layanan sewa tenda yang menyediakan perlengkapan acara di wilayah Balikpapan, Kalimantan Timur.","Radja Tenda adalah layanan sewa tenda yang terletak di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Menyediakan fasilitas untuk menginap dan menikmati keindahan alam sekitar.",0.8138136863708496,0.8921176195144653,0.8511685729026794
DapurMomoy08,"-1,2236036","116,832622",Toko Kue,DapurMomoy08 adalah toko kue rumahan yang menjual berbagai jenis kue dan camilan di Balikpapan.,"DapurMomoy08 adalah toko kue yang menyajikan berbagai jenis kue di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Menyediakan berbagai pilihan kue untuk kebutuhan harian dan acara spesial.",0.8129876255989075,0.9002618789672852,0.8544018864631653
Perumahan bpd,"-1,222027","116,8321634",Dapur Umum,Perumahan BPD berfungsi sebagai dapur umum atau tempat penyedia makanan di kawasan perumahan Balikpapan.,"Perumahan BPD adalah dapur umum di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Menyediakan fasilitas umum untuk kebutuhan penduduk sekitar.",0.7917031049728394,0.8253705501556396,0.8081862926483154
Nayla ol shop,"-1,223107","116,833381",Toko Perhiasan,Nayla Ol Shop adalah toko perhiasan yang menjual berbagai aksesoris dan perhiasan wanita di Balikpapan.,"Nayla Ol Shop adalah toko perhiasan yang terletak di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Menyediakan berbagai jenis perhiasan untuk kebutuhan pribadi.",0.8096332550048828,0.8686256408691406,0.8380926847457886
Makam Abah Muhammad Arsyad Bin Muhammad Yasin,"-1,2236132","116,833412",Pemakaman,"Makam Abah Muhammad Arsyad Bin Muhammad Yasin merupakan area pemakaman umum di Balikpapan, Kalimantan Timur.","Makam Abah Muhammad Arsyad Bin Muhammad Yasin adalah pemakaman yang menyimpan kenangan sejarah dan budaya di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Makam ini merupakan tempat peristirahan para leluhur masyarakat setempat.",0.8102422952651978,0.9245700836181641,0.8636389374732971
Distributor Shannen,"-1,2218823","116,8325451",Toko Kosmetik,Distributor Shannen adalah toko kosmetik yang menyediakan produk kecantikan merek Shannen di Balikpapan.,"Distributor Shannen adalah toko kosmetik yang menyediakan berbagai produk perawatan kulit dan kecantikan di Muara Rapak, Balikpapan Utara, Kalimantan Timur. Menyajikan berbagai merek terkenal dalam industri kosmetik.",0.8279070854187012,0.916164219379425,0.8698025941848755
PT. ITCI Kartika Utama,"-1,2235762","116,8099926",Pemasok kayu,"PT. ITCI Kartika Utama merupakan pemasok kayu yang beroperasi di Balikpapan, Kalimantan Timur.","PT. ITCI Kartika Utama adalah pemasok kayu berbasis di Baru Ulu, Balikpapan Barat, Kalimantan Timur. Melayani kebutuhan kayu untuk berbagai industri dan proyek.",0.8459154367446899,0.941855251789093,0.8913110494613647
CV. FELISHA SAMUDRA JAYA,"-1,2250518","116,8098223",Perusahaan Konstruksi,"CV. FELISHA SAMUDRA JAYA adalah perusahaan konstruksi yang bergerak di bidang pembangunan dan jasa proyek di Balikpapan, Kalimantan Timur.","CV. FELISHA SAMUDRA JAYA adalah perusahaan konstruksi berbasis di Baru Ulu, Balikpapan Barat, Kalimantan Timur. Menyediakan jasa konstruksi dan layanan terkait proyek-proyek besar.",0.8664715886116028,0.9188657402992249,0.8918998837471008
SNIPER CI IN CI (GUNSHOP 88),"-1,187394","116,9934297",Toko Airsoft Gun,SNIPER CI IN CI (GUNSHOP 88) merupakan toko airsoft gun yang menjual perlengkapan dan aksesoris senjata replika di Balikpapan.,"SNIPER CI IN CI (GUNSHOP 88) adalah toko airsoft gun di Lamaru, Balikpapan Timur, Kalimantan Timur. Menyediakan berbagai jenis senjata airsoft untuk kebutuhan pemain airsoft.",0.8365490436553955,0.8603358268737793,0.8482756614685059
rentalmobilbpp354,"-1,2701875","116,8471373",Agen Sewa Mobil,rentalmobilbpp354 adalah agen sewa mobil yang menyediakan layanan penyewaan kendaraan harian maupun bulanan di Balikpapan.,"rentalmobil bpp354 adalah agen sewa mobil di Klandasan Ilir, Balikpapan Kota, Kalimantan Timur. Menyediakan berbagai jenis kendaraan untuk sewa.",0.8029857873916626,0.8254547715187073,0.8140652179718018
Mie Pedas Rempah / Mie Dower 62,"-1,2705814","116,8468263",Restoran Mie,Mie Pedas Rempah / Mie Dower 62 adalah restoran mie yang menawarkan menu mie pedas dengan berbagai tingkat kepedasan di Balikpapan.,"Mie Pedas Rempah/Mie Dower 62 adalah restoran mie yang menyajikan hidangan mie pedas dengan rempah-rempahan khas. Terletak di Klandasan Ilir, Balikpapan Kota, Kalimantan Timur.",0.812538743019104,0.8856438994407654,0.8475177884101868
Kos-Kosan/Kontrakan/Sewa Rumah,"-1,2706094","116,8470514",Agen Sewa Mobil,"Kos-Kosan/Kontrakan/Sewa Rumah menyediakan layanan penyewaan tempat tinggal seperti kamar kos, kontrakan, dan rumah di area Balikpapan.","Kos-Kosan/Kontrakan/Sewa Rumah adalah agen sewa mobil yang menyediakan layanan sewa rumah di Klandasan Ilir, Balikpapan Kota, Kalimantan Timur. Menawarkan alternatif tempat tinggal untuk kebutuhan perjalanan atau penginapan singkat.",0.7741996645927429,0.8157466650009155,0.7944303750991821
Garasi 2 Tak (house of boker),"-1,2701308","116,8474595",Bengkel Sepeda Motor,Garasi 2 Tak (house of boker) adalah bengkel sepeda motor yang melayani perbaikan dan modifikasi motor dua tak di Balikpapan.,"Garasi 2 Tak (House of Boker) adalah bengkel sepeda motor di Klandasan Ilir, Balikpapan Kota, Kalimantan Timur. Menyediakan jasa perbaikan dan pemeliharaan sepeda motor dengan profesional.",0.8039721250534058,0.86468505859375,0.8332241177558899
KOTAKAN AJA,"-1,2706024","116,8468134",Paket Makanan Pokok,"KOTAKAN AJA menyediakan paket makanan pokok dan kebutuhan harian untuk masyarakat di Balikpapan, Kalimantan Timur.","KOTAKAN AJA adalah paket makanan pokok yang tersedia di Klandasan Ilir, Balikpapan Kota, Kalimantan Timur. Menyajikan berbagai menu makanan yang memadai untuk kebutuhan sehari-hari.",0.8064783811569214,0.8810299038887024,0.842107355594635
Surya Bakti,"-1,2509652","116,8386484",Toko Elektronik,Surya Bakti adalah toko elektronik yang menjual berbagai peralatan listrik dan kebutuhan rumah tangga di Balikpapan.,"Surya Bakti adalah toko elektronik di Karang Rejo, Balikpapan Tengah, Kalimantan Timur. Menyediakan berbagai produk elektronik seperti TV, komputer, dan peralatan lainnya.",0.8115118741989136,0.8604581356048584,0.8352685570716858
Panca Jaya Motor. UD,"-1,2517342","116,8384735",Toko Aksesori Truk,Panca Jaya Motor. UD merupakan toko yang menjual berbagai aksesori dan suku cadang truk di Balikpapan.,"Panca Jaya Motor. UD adalah toko aksesori truk di Karang Rejo, Balikpapan Tengah, Kalimantan Timur. Menyediakan berbagai peralatan dan aksesoris untuk kebutuhan truk.",0.8087899088859558,0.8617438673973083,0.8344275951385498
Kelompok Bermain Darul Ihsan,"-1,2512905","116,838634",Kelompok Bermain,Kelompok Bermain Darul Ihsan adalah lembaga pendidikan anak usia dini yang menyediakan kegiatan belajar dan bermain di Balikpapan.,"Kelompok Bermain Darul Ihsan adalah kelompok bermain yang terletak di Karang Rejo, Balikpapan Tengah, Kalimantan Timur. Tempat ini menyediakan fasilitas untuk kegiatan rekreasi dan hiburan bagi anggota.",0.7797634601593018,0.8552238941192627,0.8157522678375244
PT. GLOBAL ABADI SEJAHTERA,"-1,2516821","116,8373896",Agen Gas Elpiji,PT. GLOBAL ABADI SEJAHTERA adalah agen gas elpiji yang menyediakan distribusi dan penjualan gas untuk kebutuhan rumah tangga serta industri di Balikpapan.,"PT. GLOBAL ABADI SEJAHTERA adalah agen gas Elpiji di Karang Rejo, Balikpapan Tengah, Kalimantan Timur. Menyediakan layanan pengiriman dan penjualan gas untuk kebutuhan rumah tangga dan industri.",0.8862429261207581,0.9316002130508423,0.908355712890625
PT. Kinibalu Jaya Raya,"-1,2516","116,837439",Agen Gas Elpiji,"PT. Kinibalu Jaya Raya merupakan agen gas elpiji yang melayani penjualan serta pengiriman gas elpiji di wilayah Balikpapan, Kalimantan Timur.","PT. Kinibalu Jaya Raya adalah agen gas ELPIJI di Karang Rejo, Balikpapan Tengah, Kalimantan Timur. Menyediakan layanan pengiriman dan penjualan gas ELPIJI untuk kebutuhan konsumen lokal.",0.8179888725280762,0.8756826519966125,0.8458530902862549
